nama citra , contrast(0) , contrast(45) , contrast(90) , contrast(135) , dissimilarity(0) , dissimilarity(45) , dissimilarity(90) , dissimilarity(135) , homogeneity(0) , homogeneity(45) , homogeneity(90) , homogeneity(135) , energy(0) , energy(45) , energy(90) , energy(135) , correlation(0) , correlation(45) , correlation(90) , correlation(135) , ASM(0) , ASM(45) , ASM(90) , ASM(135) , label
Copy of Tm81.png , 26968.9545 , 29444.0312 , 26141.3636 , 26968.9545 , 105.7606 , 115.4668 , 102.5152 , 105.7606 , 0.5853 , 0.5472 , 0.598 , 0.5853 , 0.5673 , 0.5615 , 0.5685 , 0.5673 , 0.0476 , -0.0364 , 0.0787 , 0.0476 , 0.3218 , 0.3153 , 0.3232 , 0.3218 , mentah
Copy of Tm82.png , 25530.5227 , 31208.8154 , 28407.3864 , 25530.5227 , 100.1197 , 122.3875 , 111.4015 , 100.1197 , 0.6074 , 0.5201 , 0.5631 , 0.6074 , 0.5637 , 0.5524 , 0.556 , 0.5637 , 0.1152 , -0.0779 , 0.018 , 0.1152 , 0.3178 , 0.3051 , 0.3091 , 0.3178 , mentah
Copy of Tm83.png , 25530.5227 , 31208.8154 , 28407.3864 , 25530.5227 , 100.1197 , 122.3875 , 111.4015 , 100.1197 , 0.6074 , 0.5201 , 0.5631 , 0.6074 , 0.5637 , 0.5524 , 0.556 , 0.5637 , 0.1152 , -0.0779 , 0.018 , 0.1152 , 0.3178 , 0.3051 , 0.3091 , 0.3178 , mentah
Copy of Tm84.png , 25530.5227 , 31208.8154 , 28407.3864 , 25530.5227 , 100.1197 , 122.3875 , 111.4015 , 100.1197 , 0.6074 , 0.5201 , 0.5631 , 0.6074 , 0.5637 , 0.5524 , 0.556 , 0.5637 , 0.1152 , -0.0779 , 0.018 , 0.1152 , 0.3178 , 0.3051 , 0.3091 , 0.3178 , mentah
Copy of Tm85.png , 27987.0227 , 29012.787 , 24578.1364 , 27987.0227 , 109.753 , 113.7756 , 96.3848 , 109.753 , 0.5696 , 0.5538 , 0.622 , 0.5696 , 0.5705 , 0.5677 , 0.5786 , 0.5705 , -0.0024 , -0.036 , 0.1212 , -0.0024 , 0.3255 , 0.3222 , 0.3348 , 0.3255 , mentah
Copy of Tm86.png , 27987.0227 , 29012.787 , 24578.1364 , 27987.0227 , 109.753 , 113.7756 , 96.3848 , 109.753 , 0.5696 , 0.5538 , 0.622 , 0.5696 , 0.5705 , 0.5677 , 0.5786 , 0.5705 , -0.0024 , -0.036 , 0.1212 , -0.0024 , 0.3255 , 0.3222 , 0.3348 , 0.3255 , mentah
Copy of Tm9.png , 20578.1136 , 25396.9697 , 22771.8864 , 20578.1136 , 80.6985 , 99.596 , 89.3015 , 80.6985 , 0.6835 , 0.6094 , 0.6498 , 0.6835 , 0.628 , 0.6094 , 0.6192 , 0.628 , 0.1872 , 0.0 , 0.0999 , 0.1872 , 0.3943 , 0.3714 , 0.3834 , 0.3943 , mentah
Copy of Tm92.png , 24591.2727 , 31268.5262 , 29064.2045 , 24591.2727 , 96.4364 , 122.6217 , 113.9773 , 96.4364 , 0.6218 , 0.5191 , 0.553 , 0.6218 , 0.5723 , 0.5582 , 0.5606 , 0.5723 , 0.1353 , -0.096 , -0.0192 , 0.1353 , 0.3275 , 0.3116 , 0.3143 , 0.3275 , mentah
Copy of Tm93.png , 24591.2727 , 31268.5262 , 29064.2045 , 24591.2727 , 96.4364 , 122.6217 , 113.9773 , 96.4364 , 0.6218 , 0.5191 , 0.553 , 0.6218 , 0.5723 , 0.5582 , 0.5606 , 0.5723 , 0.1353 , -0.096 , -0.0192 , 0.1353 , 0.3275 , 0.3116 , 0.3143 , 0.3275 , mentah
Copy of Tm94.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
Copy of Tm95.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
Copy of Tm96.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
Copy of Tm97.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
Copy of Tm98.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
Copy of Tm99.png , 24637.25 , 29463.9348 , 27060.9091 , 24637.25 , 96.6167 , 115.5448 , 106.1212 , 96.6167 , 0.6211 , 0.5469 , 0.5838 , 0.6211 , 0.5795 , 0.5672 , 0.5723 , 0.5795 , 0.1165 , -0.0527 , 0.031 , 0.1165 , 0.3358 , 0.3218 , 0.3275 , 0.3358 , mentah
IMG_20231114_145935.jpg , 4643.7045 , 5964.4399 , 4545.1818 , 4643.7045 , 18.2106 , 23.39 , 17.8242 , 18.2106 , 0.9286 , 0.9083 , 0.9301 , 0.9286 , 0.9026 , 0.8937 , 0.9043 , 0.9026 , 0.3994 , 0.2231 , 0.4038 , 0.3994 , 0.8148 , 0.7986 , 0.8178 , 0.8148 , bukan
IMG_20231114_150017.jpg , 4729.0909 , 6607.989 , 5293.9545 , 4729.0909 , 18.5455 , 25.9137 , 20.7606 , 18.5455 , 0.9273 , 0.8984 , 0.9186 , 0.9273 , 0.8986 , 0.8845 , 0.8945 , 0.8986 , 0.4189 , 0.1955 , 0.3494 , 0.4189 , 0.8074 , 0.7824 , 0.8001 , 0.8074 , bukan
IMG_20231114_150121.jpg , 4689.6818 , 6103.7649 , 4584.5909 , 4689.6818 , 18.3909 , 23.9363 , 17.9788 , 18.3909 , 0.9279 , 0.9061 , 0.9295 , 0.9279 , 0.9026 , 0.8918 , 0.9033 , 0.9026 , 0.3912 , 0.215 , 0.4049 , 0.3912 , 0.8146 , 0.7954 , 0.816 , 0.8146 , bukan
IMG_20231114_150152.jpg , 5714.3182 , 7550.0918 , 6042.7273 , 5714.3182 , 22.4091 , 29.6082 , 23.697 , 22.4091 , 0.9121 , 0.8839 , 0.9071 , 0.9121 , 0.8805 , 0.8669 , 0.8782 , 0.8805 , 0.3918 , 0.2037 , 0.3568 , 0.3918 , 0.7754 , 0.7516 , 0.7712 , 0.7754 , bukan
IMG_20231114_150424.jpg , 5287.3864 , 7065.7713 , 5740.5909 , 5287.3864 , 20.7348 , 27.7089 , 22.5121 , 20.7348 , 0.9187 , 0.8913 , 0.9117 , 0.9187 , 0.888 , 0.8748 , 0.8846 , 0.888 , 0.4051 , 0.2123 , 0.3553 , 0.4051 , 0.7886 , 0.7652 , 0.7826 , 0.7886 , bukan
IMG_20231114_150452.jpg , 5136.3182 , 6156.8411 , 4637.1364 , 5136.3182 , 20.1424 , 24.1445 , 18.1848 , 20.1424 , 0.921 , 0.9053 , 0.9287 , 0.921 , 0.896 , 0.889 , 0.9004 , 0.896 , 0.3653 , 0.2365 , 0.4204 , 0.3653 , 0.8028 , 0.7903 , 0.8107 , 0.8028 , bukan
IMG_20231114_150513.jpg , 5202.0 , 6057.3232 , 4459.7955 , 5202.0 , 20.4 , 23.7542 , 17.4894 , 20.4 , 0.92 , 0.9068 , 0.9314 , 0.92 , 0.8978 , 0.8912 , 0.9032 , 0.8978 , 0.3356 , 0.2319 , 0.43 , 0.3356 , 0.806 , 0.7943 , 0.8158 , 0.806 , bukan
IMG_20231114_150531.jpg , 5346.5 , 6767.2176 , 5333.3636 , 5346.5 , 20.9667 , 26.5381 , 20.9152 , 20.9667 , 0.9178 , 0.8959 , 0.918 , 0.9178 , 0.8895 , 0.8787 , 0.8895 , 0.8895 , 0.3833 , 0.2266 , 0.3856 , 0.3833 , 0.7912 , 0.7722 , 0.7912 , 0.7912 , bukan
IMG_20231114_150605.jpg , 6627.2955 , 7503.6501 , 4926.1364 , 6627.2955 , 25.9894 , 29.4261 , 19.3182 , 25.9894 , 0.8981 , 0.8846 , 0.9242 , 0.8981 , 0.874 , 0.8672 , 0.8862 , 0.874 , 0.295 , 0.2091 , 0.4763 , 0.295 , 0.7639 , 0.752 , 0.7853 , 0.7639 , bukan
IMG_20231114_150625.jpg , 3165.8636 , 5048.8751 , 4078.8409 , 3165.8636 , 12.4152 , 19.7995 , 15.9955 , 12.4152 , 0.9513 , 0.9224 , 0.9373 , 0.9513 , 0.9269 , 0.9128 , 0.9202 , 0.9269 , 0.4845 , 0.185 , 0.3353 , 0.4845 , 0.8592 , 0.8331 , 0.8468 , 0.8592 , bukan
IMG_20231114_150645.jpg , 3533.6818 , 5951.1708 , 4945.8409 , 3533.6818 , 13.8576 , 23.3379 , 19.3955 , 13.8576 , 0.9457 , 0.9085 , 0.9239 , 0.9457 , 0.9166 , 0.8986 , 0.9063 , 0.9166 , 0.4992 , 0.1639 , 0.2985 , 0.4992 , 0.8401 , 0.8074 , 0.8213 , 0.8401 , bukan
IMG_20231114_150703.jpg , 3684.75 , 5174.9311 , 4289.0227 , 3684.75 , 14.45 , 20.2938 , 16.8197 , 14.45 , 0.9433 , 0.9204 , 0.934 , 0.9433 , 0.9199 , 0.9089 , 0.9157 , 0.9199 , 0.4353 , 0.2094 , 0.3391 , 0.4353 , 0.8462 , 0.8261 , 0.8386 , 0.8462 , bukan
rotated_180_IMG_20231114_145935.jpg , 4683.1136 , 6044.0542 , 4597.7273 , 4683.1136 , 18.3652 , 23.7022 , 18.0303 , 18.3652 , 0.928 , 0.9071 , 0.9293 , 0.928 , 0.9016 , 0.8923 , 0.9031 , 0.9016 , 0.4014 , 0.2221 , 0.404 , 0.4014 , 0.8128 , 0.7962 , 0.8156 , 0.8128 , bukan
rotated_180_IMG_20231114_150017.jpg , 4952.4091 , 7006.0606 , 5438.4545 , 4952.4091 , 19.4212 , 27.4747 , 21.3273 , 19.4212 , 0.9238 , 0.8923 , 0.9164 , 0.9238 , 0.894 , 0.8788 , 0.8905 , 0.894 , 0.4158 , 0.1812 , 0.3585 , 0.4158 , 0.7993 , 0.7723 , 0.793 , 0.7993 , bukan
rotated_180_IMG_20231114_150121.jpg , 4689.6818 , 6063.9578 , 4610.8636 , 4689.6818 , 18.3909 , 23.7802 , 18.0818 , 18.3909 , 0.9279 , 0.9067 , 0.9291 , 0.9279 , 0.9032 , 0.8928 , 0.9038 , 0.9032 , 0.3848 , 0.2119 , 0.3951 , 0.3848 , 0.8158 , 0.7971 , 0.8169 , 0.8158 , bukan
rotated_180_IMG_20231114_150152.jpg , 5569.8182 , 7510.2847 , 6095.2727 , 5569.8182 , 21.8424 , 29.4521 , 23.903 , 21.8424 , 0.9143 , 0.8845 , 0.9063 , 0.9143 , 0.882 , 0.8676 , 0.8782 , 0.882 , 0.4043 , 0.2042 , 0.3481 , 0.4043 , 0.7779 , 0.7527 , 0.7713 , 0.7779 , bukan
rotated_180_IMG_20231114_150424.jpg , 5320.2273 , 6873.3701 , 5372.7727 , 5320.2273 , 20.8636 , 26.9544 , 21.0697 , 20.8636 , 0.9182 , 0.8943 , 0.9174 , 0.9182 , 0.8888 , 0.8771 , 0.8883 , 0.8888 , 0.3934 , 0.2235 , 0.3882 , 0.3934 , 0.79 , 0.7693 , 0.7892 , 0.79 , bukan
rotated_180_IMG_20231114_150452.jpg , 4335.0 , 5373.9669 , 3980.3182 , 4335.0 , 17.0 , 21.0744 , 15.6091 , 17.0 , 0.9333 , 0.9174 , 0.9388 , 0.9333 , 0.911 , 0.9039 , 0.9144 , 0.911 , 0.3816 , 0.2291 , 0.4246 , 0.3816 , 0.83 , 0.817 , 0.8362 , 0.83 , bukan
rotated_180_IMG_20231114_150513.jpg , 5241.4091 , 6349.2424 , 4604.2955 , 5241.4091 , 20.5545 , 24.899 , 18.0561 , 20.5545 , 0.9194 , 0.9024 , 0.9292 , 0.9194 , 0.895 , 0.8867 , 0.8997 , 0.895 , 0.3541 , 0.2232 , 0.4322 , 0.3541 , 0.8011 , 0.7862 , 0.8095 , 0.8011 , bukan
rotated_180_IMG_20231114_150531.jpg , 5110.0455 , 6568.1818 , 5123.1818 , 5110.0455 , 20.0394 , 25.7576 , 20.0909 , 20.0394 , 0.9214 , 0.899 , 0.9212 , 0.9214 , 0.8935 , 0.8824 , 0.8933 , 0.8935 , 0.3924 , 0.2262 , 0.3916 , 0.3924 , 0.7983 , 0.7787 , 0.7979 , 0.7983 , bukan
rotated_180_IMG_20231114_150605.jpg , 6121.5455 , 6939.7153 , 4689.6818 , 6121.5455 , 24.0061 , 27.2146 , 18.3909 , 24.0061 , 0.9059 , 0.8933 , 0.9279 , 0.9059 , 0.8841 , 0.8777 , 0.8944 , 0.8841 , 0.293 , 0.2059 , 0.4583 , 0.293 , 0.7816 , 0.7703 , 0.7999 , 0.7816 , bukan
rotated_180_IMG_20231114_150625.jpg , 3284.0909 , 5168.2966 , 4118.25 , 3284.0909 , 12.8788 , 20.2678 , 16.15 , 12.8788 , 0.9495 , 0.9205 , 0.9367 , 0.9495 , 0.9253 , 0.9111 , 0.9192 , 0.9253 , 0.4734 , 0.1783 , 0.339 , 0.4734 , 0.8561 , 0.8301 , 0.8449 , 0.8561 , bukan
rotated_180_IMG_20231114_150645.jpg , 3389.1818 , 5725.5969 , 4893.2955 , 3389.1818 , 13.2909 , 22.4533 , 19.1894 , 13.2909 , 0.9479 , 0.9119 , 0.9247 , 0.9479 , 0.919 , 0.9015 , 0.908 , 0.919 , 0.5084 , 0.1766 , 0.2896 , 0.5084 , 0.8446 , 0.8128 , 0.8245 , 0.8446 , bukan
rotated_180_IMG_20231114_150703.jpg , 3205.2727 , 4856.4738 , 3993.4545 , 3205.2727 , 12.5697 , 19.045 , 15.6606 , 12.5697 , 0.9507 , 0.9253 , 0.9386 , 0.9507 , 0.9278 , 0.9154 , 0.9221 , 0.9278 , 0.4658 , 0.1966 , 0.3331 , 0.4658 , 0.8609 , 0.8379 , 0.8503 , 0.8609 , bukan
rotated_270_IMG_20231114_145935.jpg , 5497.5682 , 6674.3343 , 5024.6591 , 5497.5682 , 21.5591 , 26.1739 , 19.7045 , 21.5591 , 0.9155 , 0.8974 , 0.9227 , 0.9155 , 0.889 , 0.8801 , 0.8914 , 0.889 , 0.3613 , 0.2302 , 0.4238 , 0.3613 , 0.7902 , 0.7746 , 0.7946 , 0.7902 , bukan
rotated_270_IMG_20231114_150017.jpg , 5254.5455 , 6541.6437 , 4624.0 , 5254.5455 , 20.6061 , 25.6535 , 18.1333 , 20.6061 , 0.9192 , 0.8994 , 0.9289 , 0.9192 , 0.895 , 0.8853 , 0.8996 , 0.895 , 0.3516 , 0.2002 , 0.4294 , 0.3516 , 0.8011 , 0.7837 , 0.8093 , 0.8011 , bukan
rotated_270_IMG_20231114_150121.jpg , 4689.6818 , 6209.9174 , 4794.7727 , 4689.6818 , 18.3909 , 24.3526 , 18.803 , 18.3909 , 0.9279 , 0.9045 , 0.9263 , 0.9279 , 0.9011 , 0.8896 , 0.9003 , 0.9011 , 0.4045 , 0.2188 , 0.3912 , 0.4045 , 0.812 , 0.7914 , 0.8106 , 0.812 , bukan
rotated_270_IMG_20231114_150152.jpg , 6239.7727 , 8041.0468 , 5753.7273 , 6239.7727 , 24.4697 , 31.5335 , 22.5636 , 24.4697 , 0.904 , 0.8763 , 0.9115 , 0.904 , 0.8753 , 0.8621 , 0.8788 , 0.8753 , 0.3473 , 0.1666 , 0.3982 , 0.3473 , 0.7662 , 0.7432 , 0.7723 , 0.7662 , bukan
rotated_270_IMG_20231114_150424.jpg , 5793.1364 , 7808.8384 , 5694.6136 , 5793.1364 , 22.7182 , 30.6229 , 22.3318 , 22.7182 , 0.9109 , 0.8799 , 0.9124 , 0.9109 , 0.8804 , 0.8657 , 0.8812 , 0.8804 , 0.3804 , 0.171 , 0.3899 , 0.3804 , 0.775 , 0.7495 , 0.7766 , 0.775 , bukan
rotated_270_IMG_20231114_150452.jpg , 4479.5 , 6355.877 , 5057.5 , 4479.5 , 17.5667 , 24.925 , 19.8333 , 17.5667 , 0.9311 , 0.9023 , 0.9222 , 0.9311 , 0.9032 , 0.8894 , 0.8983 , 0.9032 , 0.4262 , 0.191 , 0.3587 , 0.4262 , 0.8158 , 0.791 , 0.807 , 0.8158 , bukan
rotated_270_IMG_20231114_150513.jpg , 3894.9318 , 5712.3278 , 4926.1364 , 3894.9318 , 15.2742 , 22.4013 , 19.3182 , 15.2742 , 0.9401 , 0.9122 , 0.9242 , 0.9401 , 0.9116 , 0.8979 , 0.904 , 0.9116 , 0.4686 , 0.2267 , 0.3284 , 0.4686 , 0.831 , 0.8063 , 0.8172 , 0.831 , bukan
rotated_270_IMG_20231114_150531.jpg , 4978.6818 , 6455.3949 , 4788.2045 , 4978.6818 , 19.5242 , 25.3153 , 18.7773 , 19.5242 , 0.9234 , 0.9007 , 0.9264 , 0.9234 , 0.8976 , 0.8865 , 0.8991 , 0.8976 , 0.3804 , 0.2035 , 0.4037 , 0.3804 , 0.8057 , 0.7859 , 0.8083 , 0.8057 , bukan
rotated_270_IMG_20231114_150605.jpg , 4768.5 , 7311.2489 , 6568.1818 , 4768.5 , 18.7 , 28.6716 , 25.7576 , 18.7 , 0.9267 , 0.8876 , 0.899 , 0.9267 , 0.8904 , 0.8716 , 0.8775 , 0.8904 , 0.4731 , 0.1996 , 0.2742 , 0.4731 , 0.7929 , 0.7597 , 0.77 , 0.7929 , bukan
rotated_270_IMG_20231114_150625.jpg , 4367.8409 , 5115.2204 , 3389.1818 , 4367.8409 , 17.1288 , 20.0597 , 13.2909 , 17.1288 , 0.9328 , 0.9213 , 0.9479 , 0.9328 , 0.9153 , 0.9094 , 0.9224 , 0.9153 , 0.3257 , 0.2178 , 0.4773 , 0.3257 , 0.8377 , 0.8269 , 0.8509 , 0.8377 , bukan
rotated_270_IMG_20231114_150645.jpg , 4972.1136 , 5566.3682 , 3573.0909 , 4972.1136 , 19.4985 , 21.8289 , 14.0121 , 19.4985 , 0.9235 , 0.9144 , 0.9451 , 0.9235 , 0.9061 , 0.9013 , 0.9163 , 0.9061 , 0.2948 , 0.2179 , 0.4937 , 0.2948 , 0.8209 , 0.8123 , 0.8395 , 0.8209 , bukan
rotated_270_IMG_20231114_150703.jpg , 4151.0909 , 5022.337 , 3290.6591 , 4151.0909 , 16.2788 , 19.6954 , 12.9045 , 16.2788 , 0.9362 , 0.9228 , 0.9494 , 0.9362 , 0.9189 , 0.9121 , 0.9252 , 0.9189 , 0.3344 , 0.2015 , 0.4729 , 0.3344 , 0.8443 , 0.832 , 0.856 , 0.8443 , bukan
rotated_90_IMG_20231114_145935.jpg , 4479.5 , 5818.4803 , 4380.9773 , 4479.5 , 17.5667 , 22.8176 , 17.1803 , 17.5667 , 0.9311 , 0.9105 , 0.9326 , 0.9311 , 0.906 , 0.896 , 0.9058 , 0.906 , 0.4006 , 0.2269 , 0.4222 , 0.4006 , 0.8209 , 0.8028 , 0.8206 , 0.8209 , bukan
rotated_90_IMG_20231114_150017.jpg , 5346.5 , 6773.8522 , 4867.0227 , 5346.5 , 20.9667 , 26.5641 , 19.0864 , 20.9667 , 0.9178 , 0.8958 , 0.9252 , 0.9178 , 0.8917 , 0.881 , 0.8953 , 0.8917 , 0.3642 , 0.2014 , 0.4209 , 0.3642 , 0.7952 , 0.7762 , 0.8015 , 0.7952 , bukan
rotated_90_IMG_20231114_150121.jpg , 4610.8636 , 6090.4959 , 4689.6818 , 4610.8636 , 18.0818 , 23.8843 , 18.3909 , 18.0818 , 0.9291 , 0.9063 , 0.9279 , 0.9291 , 0.9032 , 0.892 , 0.9027 , 0.9032 , 0.4006 , 0.2156 , 0.3903 , 0.4006 , 0.8158 , 0.7957 , 0.8148 , 0.8158 , bukan
rotated_90_IMG_20231114_150152.jpg , 5740.5909 , 7297.9798 , 5372.7727 , 5740.5909 , 22.5121 , 28.6195 , 21.0697 , 22.5121 , 0.9117 , 0.8878 , 0.9174 , 0.9117 , 0.8848 , 0.8732 , 0.8875 , 0.8848 , 0.3537 , 0.1859 , 0.3951 , 0.3537 , 0.7829 , 0.7625 , 0.7876 , 0.7829 , bukan
rotated_90_IMG_20231114_150424.jpg , 5451.5909 , 6793.7557 , 4991.8182 , 5451.5909 , 21.3788 , 26.6422 , 19.5758 , 21.3788 , 0.9162 , 0.8955 , 0.9232 , 0.9162 , 0.8907 , 0.8808 , 0.8942 , 0.8907 , 0.3544 , 0.2007 , 0.4072 , 0.3544 , 0.7933 , 0.7757 , 0.7996 , 0.7933 , bukan
rotated_90_IMG_20231114_150452.jpg , 3901.5 , 5705.6933 , 4177.3636 , 3901.5 , 15.3 , 22.3753 , 16.3818 , 15.3 , 0.94 , 0.9123 , 0.9358 , 0.94 , 0.9157 , 0.9023 , 0.913 , 0.9157 , 0.4292 , 0.1703 , 0.3961 , 0.4292 , 0.8385 , 0.8142 , 0.8335 , 0.8385 , bukan
rotated_90_IMG_20231114_150513.jpg , 4013.1591 , 5639.348 , 4696.25 , 4013.1591 , 15.7379 , 22.1151 , 18.4167 , 15.7379 , 0.9383 , 0.9133 , 0.9278 , 0.9383 , 0.9122 , 0.8999 , 0.9071 , 0.9122 , 0.4391 , 0.2186 , 0.3447 , 0.4391 , 0.8321 , 0.8098 , 0.8228 , 0.8321 , bukan
rotated_90_IMG_20231114_150531.jpg , 4991.8182 , 6382.4151 , 4702.8182 , 4991.8182 , 19.5758 , 25.0291 , 18.4424 , 19.5758 , 0.9232 , 0.9018 , 0.9277 , 0.9232 , 0.898 , 0.8876 , 0.9002 , 0.898 , 0.3743 , 0.2063 , 0.4097 , 0.3743 , 0.8064 , 0.7878 , 0.8104 , 0.8064 , bukan
rotated_90_IMG_20231114_150605.jpg , 4729.0909 , 6972.888 , 6206.9318 , 4729.0909 , 18.5455 , 27.3447 , 24.3409 , 18.5455 , 0.9273 , 0.8928 , 0.9045 , 0.9273 , 0.8933 , 0.8767 , 0.8827 , 0.8933 , 0.4594 , 0.2097 , 0.29 , 0.4594 , 0.798 , 0.7686 , 0.7792 , 0.798 , bukan
rotated_90_IMG_20231114_150625.jpg , 4144.5227 , 4916.1846 , 3126.4545 , 4144.5227 , 16.253 , 19.2792 , 12.2606 , 16.253 , 0.9363 , 0.9244 , 0.9519 , 0.9363 , 0.9193 , 0.9132 , 0.9268 , 0.9193 , 0.331 , 0.214 , 0.4958 , 0.331 , 0.8451 , 0.8339 , 0.8589 , 0.8451 , bukan
rotated_90_IMG_20231114_150645.jpg , 4913.0 , 5559.7337 , 3454.8636 , 4913.0 , 19.2667 , 21.8029 , 13.5485 , 19.2667 , 0.9244 , 0.9145 , 0.9469 , 0.9244 , 0.9072 , 0.9021 , 0.9179 , 0.9072 , 0.2945 , 0.2091 , 0.5039 , 0.2945 , 0.8231 , 0.8137 , 0.8426 , 0.8231 , bukan
rotated_90_IMG_20231114_150703.jpg , 3980.3182 , 4816.6667 , 3310.3636 , 3980.3182 , 15.6091 , 18.8889 , 12.9818 , 15.6091 , 0.9388 , 0.9259 , 0.9491 , 0.9388 , 0.922 , 0.9155 , 0.9268 , 0.922 , 0.3379 , 0.2064 , 0.4504 , 0.3379 , 0.8501 , 0.8381 , 0.859 , 0.8501 , bukan
